CA,sand.state,state.fips,fips.code,CFPL,zillow.forc,forc.high,hh2000
0,0,10,10001,1,353.6273,0,50481
0,0,10,10003,0,8.17348841799131,0,199521
0,0,10,10003,1,43.3477374307722,0,199521
0,0,18,18127,0,61.6719,0,57616
0,0,18,18127,1,271.5358,0,57616
0,0,19,19153,0,112.4722,0,156447
0,0,19,19153,1,434.4479,0,156447
0,0,19,19163,0,9.1023,0,65649
0,0,19,19163,1,76.492264154998,0,65649
0,0,24,24001,0,26.541,0,32984
0,0,24,24001,1,135.2245,0,32984
0,0,24,24003,0,25.0876,0,186937
0,0,24,24003,1,178.6299,0,186937
0,0,24,24005,0,24.8897,0,313734
0,0,24,24005,1,207.6386,0,313734
0,0,24,24009,0,39.0583,0,27576
0,0,24,24009,1,279.1768,0,27576
0,0,24,24011,0,47.0275,0,12028
0,0,24,24011,1,304.9268,0,12028
0,0,24,24013,0,26.2999,0,54260
0,0,24,24013,1,170.0642,0,54260
0,0,24,24015,0,24.8914,0,34461
0,0,24,24015,1,184.0109,0,34461
0,0,24,24017,0,42.9593,0,43903
0,0,24,24017,1,436.1094,0,43903
0,0,24,24019,0,39.7474407164739,0,14681
0,0,24,24019,1,349.2165,0,14681
0,0,24,24021,0,38.9358,0,73017
0,0,24,24021,1,348.0154,0,73017
0,0,24,24023,0,15.6179551849129,0,16761
0,0,24,24023,1,110.532063108989,0,16761
0,0,24,24025,0,26.4721,0,83146
0,0,24,24025,1,207.7439,0,83146
0,0,24,24027,0,22.6231,0,92818
0,0,24,24027,1,153.5373,0,92818
0,0,24,24029,0,20.0878889252707,0,9410
0,0,24,24029,1,193.752568001011,0,9410
0,0,24,24031,0,21.7425,0,334632
0,0,24,24031,1,199.5845,0,334632
0,0,24,24033,0,29.3695,0,302378
0,0,24,24033,1,583.8793,0,302378
0,0,24,24035,0,20.1901140479519,0,16674
0,0,24,24035,1,230.528,0,16674
0,0,24,24037,0,26.0309,0,34081
0,0,24,24037,1,213.6876,0,34081
0,0,24,24041,0,14.0603868675615,0,16500
0,0,24,24041,1,164.2004,0,16500
0,0,24,24043,0,45.3539,0,52972
0,0,24,24043,1,429.7182,0,52972
0,0,24,24045,0,21.2196,0,34401
0,0,24,24045,1,194.9151,0,34401
0,0,24,24047,0,13.3544,0,47360
0,0,24,24047,1,146.484,0,47360
0,0,24,24510,0,72.0796,0,300477
0,0,24,24510,1,511.9925,0,300477
0,0,25,25001,0,65.8701,0,147083
0,0,25,25001,1,272.3448,0,147083
0,0,25,25003,0,41.6061,0,66301
